failure_event_id,transaction_id,user_id,failure_type,amount_in_paise,created_at
61,614,3097,error1,23700,2016-02-15 11:46:45.226126 +0000 +0000
62,639,3105,error1,13500,2016-02-15 15:16:34.306475 +0000 +0000
63,658,3084,error3,27100,2016-02-15 16:29:57.508682 +0000 +0000
64,709,3111,error1,22300,2016-02-16 05:28:02.785881 +0000 +0000
65,710,3111,error2,22300,2016-02-16 05:29:18.936842 +0000 +0000
66,732,829,error2,21300,2016-02-16 07:29:43.2799 +0000 +0000
67,759,1602,error1,22800,2016-02-16 08:37:47.465641 +0000 +0000
68,760,1602,error2,22800,2016-02-16 08:38:43.489036 +0000 +0000
69,761,1602,error2,22800,2016-02-16 08:42:41.540731 +0000 +0000
70,762,532,error2,34000,2016-02-16 08:47:42.317669 +0000 +0000
71,766,3005,error2,17900,2016-02-16 08:58:18.881895 +0000 +0000
72,783,18,error2,15000,2016-02-16 11:01:50.012414 +0000 +0000
73,784,18,error2,15000,2016-02-16 11:02:49.212966 +0000 +0000
74,786,18,error2,15000,2016-02-16 11:03:30.531224 +0000 +0000
75,785,18,error2,15000,2016-02-16 11:03:09.917409 +0000 +0000
76,787,18,error2,15000,2016-02-16 11:05:16.723847 +0000 +0000
77,790,3272,error2,14100,2016-02-16 11:13:38.272215 +0000 +0000
78,791,3272,error2,14100,2016-02-16 11:31:09.103424 +0000 +0000
79,805,249,error2,24600,2016-02-16 12:38:44.459896 +0000 +0000
80,844,3071,error2,25600,2016-02-16 15:48:33.843491 +0000 +0000
81,866,3015,error2,13400,2016-02-16 16:34:08.309197 +0000 +0000
82,863,3190,error2,31900,2016-02-16 16:26:48.60597 +0000 +0000
83,865,3054,error2,25500,2016-02-16 16:29:53.417433 +0000 +0000
84,877,3159,error1,28000,2016-02-16 16:58:22.542735 +0000 +0000
85,876,3159,error1,28000,2016-02-16 16:57:56.870809 +0000 +0000
86,879,3159,error2,28000,2016-02-16 16:59:19.653795 +0000 +0000
87,941,2997,error2,23200,2016-02-17 07:52:17.026287 +0000 +0000
88,943,17,error2,70000,2016-02-17 07:59:33.95819 +0000 +0000
89,972,4511,error2,39800,2016-02-17 12:40:21.852761 +0000 +0000
90,1013,3455,error1,20000,2016-02-17 15:46:51.193726 +0000 +0000
91,1037,2819,error2,21500,2016-02-17 17:16:58.680785 +0000 +0000
92,1038,894,error2,43400,2016-02-17 17:17:19.96096 +0000 +0000
93,1012,3455,error1,20000,2016-02-17 15:45:16.479575 +0000 +0000
94,1049,3126,error2,34500,2016-02-18 04:38:17.328997 +0000 +0000
95,1062,2961,error2,58200,2016-02-18 06:30:42.956919 +0000 +0000
96,1089,4243,error1,20500,2016-02-18 09:04:20.936812 +0000 +0000
97,1164,2990,error2,29500,2016-02-18 16:46:21.901599 +0000 +0000
98,1170,3303,error2,40300,2016-02-18 17:17:15.248737 +0000 +0000
99,1167,3313,error1,39300,2016-02-18 17:03:50.279212 +0000 +0000
100,1203,1320,error1,23800,2016-02-19 06:55:18.867763 +0000 +0000
101,1211,3067,error3,54600,2016-02-19 07:45:44.162201 +0000 +0000
102,1214,897,error1,23700,2016-02-19 08:15:00.693497 +0000 +0000
103,1247,2875,error3,314900,2016-02-19 12:05:17.909053 +0000 +0000
104,1245,3255,error1,15700,2016-02-19 11:57:52.592728 +0000 +0000
105,1335,3141,error3,70500,2016-02-20 07:51:31.084221 +0000 +0000
106,1336,3141,error3,70500,2016-02-20 07:51:44.915219 +0000 +0000
107,1363,3215,error1,47600,2016-02-20 09:47:03.263192 +0000 +0000
108,1337,3141,error3,70500,2016-02-20 07:52:00.379049 +0000 +0000
109,1338,3141,error3,61700,2016-02-20 07:53:04.596011 +0000 +0000
110,1355,3226,error3,26200,2016-02-20 09:05:43.433899 +0000 +0000
111,1358,3226,error3,26200,2016-02-20 09:13:47.81923 +0000 +0000
112,1362,3215,error1,47600,2016-02-20 09:46:41.041885 +0000 +0000
113,1365,3215,error1,42800,2016-02-20 09:53:33.116384 +0000 +0000
114,1377,3269,error1,23800,2016-02-20 11:31:30.109639 +0000 +0000
115,1412,1003,error1,2500,2016-02-20 16:28:01.572553 +0000 +0000
116,1414,894,error1,50500,2016-02-20 16:29:43.266387 +0000 +0000
117,1433,3105,error3,30300,2016-02-21 03:51:39.111952 +0000 +0000
118,1438,3302,error1,19000,2016-02-21 04:58:00.502003 +0000 +0000
119,1458,3003,error3,27300,2016-02-21 06:48:28.739256 +0000 +0000
120,1404,3272,error1,25100,2016-02-20 15:40:11.087398 +0000 +0000
121,1409,2363,error3,194400,2016-02-20 15:54:47.856105 +0000 +0000
122,1508,3205,error1,27900,2016-02-21 10:09:45.215303 +0000 +0000
123,1524,3283,error1,52700,2016-02-21 11:58:57.81824 +0000 +0000
124,1557,3455,error1,35200,2016-02-21 15:34:37.316705 +0000 +0000
125,1558,3276,error1,19100,2016-02-21 15:36:25.352372 +0000 +0000
126,1559,3276,error1,19100,2016-02-21 15:37:05.070768 +0000 +0000
127,1571,3293,error1,27900,2016-02-21 16:15:01.327073 +0000 +0000
128,1574,3206,error1,16500,2016-02-21 16:19:13.36641 +0000 +0000
129,1589,3142,error3,20500,2016-02-21 17:04:52.781606 +0000 +0000
130,1592,904,error1,30700,2016-02-21 18:12:50.889513 +0000 +0000
131,1635,1216,error1,60200,2016-02-22 09:07:03.235873 +0000 +0000
132,336,179,error5,111400,2016-02-22 12:22:35.516348 +0000 +0000
133,1677,2990,error2,19200,2016-02-22 15:18:47.300287 +0000 +0000
134,1682,1960,error1,43600,2016-02-22 15:37:49.59766 +0000 +0000
135,1687,3308,error1,23900,2016-02-22 15:46:23.310509 +0000 +0000
136,1688,3308,error1,23900,2016-02-22 15:47:04.749412 +0000 +0000
137,1702,1003,error1,21500,2016-02-22 16:25:57.184245 +0000 +0000
138,1703,1003,error1,21500,2016-02-22 16:42:41.416287 +0000 +0000
139,1704,1003,error1,21500,2016-02-22 16:43:25.95841 +0000 +0000
140,1715,3206,error1,15400,2016-02-22 17:58:18.337847 +0000 +0000
141,1724,3105,error3,26300,2016-02-23 03:52:38.620269 +0000 +0000
142,1725,3105,error3,26300,2016-02-23 03:52:40.952806 +0000 +0000
143,1719,3110,error3,26100,2016-02-23 03:38:17.099068 +0000 +0000
144,1721,3105,error3,26300,2016-02-23 03:50:08.506217 +0000 +0000
145,1771,3206,error1,27000,2016-02-23 09:13:26.263527 +0000 +0000
146,1817,3084,error3,24900,2016-02-23 14:23:02.702859 +0000 +0000
147,1818,3084,error3,24900,2016-02-23 14:24:22.982297 +0000 +0000
148,1790,3313,error3,28800,2016-02-23 11:28:25.461158 +0000 +0000
149,1791,3313,error3,13100,2016-02-23 11:29:31.982967 +0000 +0000
150,1794,2593,error1,23000,2016-02-23 11:38:22.093651 +0000 +0000
151,1795,2593,error1,23000,2016-02-23 11:38:44.574033 +0000 +0000
152,1798,2593,error1,23000,2016-02-23 11:57:54.130132 +0000 +0000
153,1825,1320,error3,17800,2016-02-23 14:50:42.18435 +0000 +0000
154,1829,3196,error3,30700,2016-02-23 14:58:26.406328 +0000 +0000
155,1838,1342,error2,17700,2016-02-23 15:21:37.333304 +0000 +0000
156,1842,532,error2,25000,2016-02-23 15:28:08.349716 +0000 +0000
157,1871,3506,error3,51400,2016-02-23 17:26:06.245535 +0000 +0000
158,1872,3506,error3,41900,2016-02-23 17:26:23.55624 +0000 +0000
159,1896,3347,error1,49700,2016-02-24 06:48:50.79514 +0000 +0000
160,1901,1517,error1,73700,2016-02-24 07:21:37.296296 +0000 +0000
161,1903,4182,error3,38500,2016-02-24 07:29:56.247316 +0000 +0000
162,1904,1388,error1,33400,2016-02-24 07:30:21.899764 +0000 +0000
163,1905,4182,error3,38500,2016-02-24 07:30:42.910267 +0000 +0000
164,1906,4182,error3,29400,2016-02-24 07:30:59.714092 +0000 +0000
165,1910,4182,error3,29400,2016-02-24 07:32:02.303204 +0000 +0000
166,1908,4182,error3,29400,2016-02-24 07:31:39.413579 +0000 +0000
167,1912,4182,error3,29400,2016-02-24 07:34:47.655472 +0000 +0000
168,1915,725,error1,28300,2016-02-24 07:49:10.07738 +0000 +0000
169,1969,13,error2,54900,2016-02-24 11:22:32.301096 +0000 +0000
170,1970,725,error1,15300,2016-02-24 12:08:06.359012 +0000 +0000
171,1991,2961,error2,57700,2016-02-24 13:32:55.165943 +0000 +0000
172,2003,2575,error1,39700,2016-02-24 14:10:28.414692 +0000 +0000
173,2004,2575,error1,39700,2016-02-24 14:10:39.464291 +0000 +0000
174,1920,3139,error3,47200,2016-02-24 07:54:12.990343 +0000 +0000
175,1933,3353,error1,18800,2016-02-24 08:15:11.579719 +0000 +0000
176,1954,3343,error1,29500,2016-02-24 09:35:43.237979 +0000 +0000
177,1994,2961,error3,57700,2016-02-24 13:34:26.989961 +0000 +0000
178,1999,3181,error1,23500,2016-02-24 13:56:14.584328 +0000 +0000
179,2005,2575,error3,39700,2016-02-24 14:11:45.606972 +0000 +0000
180,2039,3105,error3,49900,2016-02-24 15:40:02.837757 +0000 +0000
181,2043,1960,error3,39000,2016-02-24 15:45:08.361226 +0000 +0000
182,2065,3139,error3,10700,2016-02-24 16:35:49.079945 +0000 +0000
183,2084,3097,error3,63900,2016-02-24 17:49:12.274891 +0000 +0000
184,2089,3110,error3,23800,2016-02-25 03:31:51.037385 +0000 +0000
185,2092,3345,error1,23400,2016-02-25 04:19:19.961849 +0000 +0000
186,2111,1517,error3,72600,2016-02-25 07:32:52.067773 +0000 +0000
187,2119,1517,error3,41400,2016-02-25 07:54:13.603796 +0000 +0000
188,2128,4136,error3,22300,2016-02-25 08:42:29.783086 +0000 +0000
189,2028,3141,error3,31800,2016-02-24 15:05:56.071938 +0000 +0000
190,2083,3097,error3,63900,2016-02-24 17:49:11.966322 +0000 +0000
191,336,179,error5,111400,2016-02-25 05:08:55.67296 +0000 +0000
192,302,197,error5,296900,2016-02-25 05:30:25.495558 +0000 +0000
193,2114,874,error1,24900,2016-02-25 07:38:30.658526 +0000 +0000
194,2116,874,error1,24900,2016-02-25 07:42:31.656565 +0000 +0000
195,2154,3371,error3,153400,2016-02-25 11:52:28.221378 +0000 +0000
196,2155,3371,error3,149400,2016-02-25 11:53:01.3797 +0000 +0000
197,2157,1216,error3,32200,2016-02-25 12:01:39.48835 +0000 +0000
198,2214,3000,error1,13200,2016-02-25 14:44:50.500092 +0000 +0000
199,2237,3377,error1,18200,2016-02-25 15:47:25.578117 +0000 +0000
200,2216,1320,error3,21500,2016-02-25 14:51:28.273236 +0000 +0000
201,2219,2265,error1,20400,2016-02-25 14:56:29.772581 +0000 +0000
202,2222,3142,error3,16500,2016-02-25 15:06:18.230901 +0000 +0000
203,2259,2166,error3,23900,2016-02-25 16:53:21.898877 +0000 +0000
204,2281,3324,error3,22700,2016-02-26 04:54:47.404939 +0000 +0000
205,2283,3392,error3,60900,2016-02-26 05:33:22.714432 +0000 +0000
206,2284,3392,error3,56900,2016-02-26 05:34:51.956865 +0000 +0000
207,2353,3252,error3,797200,2016-02-26 10:12:39.142911 +0000 +0000
208,2354,3252,error3,797200,2016-02-26 10:12:51.529231 +0000 +0000
209,2356,3252,error3,797200,2016-02-26 10:13:59.058549 +0000 +0000
210,2357,3252,error3,797200,2016-02-26 10:14:15.526524 +0000 +0000
211,2358,3252,error3,797200,2016-02-26 10:14:19.161077 +0000 +0000
212,2360,3252,error3,797200,2016-02-26 10:14:22.880095 +0000 +0000
213,2361,3252,error3,797200,2016-02-26 10:14:25.575402 +0000 +0000
214,2367,3252,error3,669900,2016-02-26 10:17:29.818259 +0000 +0000
215,2386,4182,error3,43900,2016-02-26 10:45:20.981504 +0000 +0000
216,2298,3393,error1,15500,2016-02-26 06:59:38.610369 +0000 +0000
217,2316,3250,error1,16500,2016-02-26 08:04:43.506505 +0000 +0000
218,2355,3252,error3,797200,2016-02-26 10:13:57.675207 +0000 +0000
219,2362,3252,error3,797200,2016-02-26 10:14:42.967112 +0000 +0000
220,2363,3252,error3,797200,2016-02-26 10:14:53.135134 +0000 +0000
221,2364,3252,error3,797200,2016-02-26 10:14:56.540562 +0000 +0000
222,2365,3252,error3,797200,2016-02-26 10:15:00.979597 +0000 +0000
223,2366,3252,error3,797200,2016-02-26 10:15:03.002199 +0000 +0000
224,2387,4182,error3,43900,2016-02-26 10:45:36.073826 +0000 +0000
225,2388,4182,error3,43900,2016-02-26 10:46:36.347452 +0000 +0000
226,2453,3373,error3,42400,2016-02-26 14:04:26.269163 +0000 +0000
227,2477,13,error2,31700,2016-02-26 15:13:48.557813 +0000 +0000
228,2478,13,error2,31700,2016-02-26 15:14:45.653022 +0000 +0000
229,2483,13,error2,31700,2016-02-26 15:18:27.901496 +0000 +0000
230,2494,904,error1,11900,2016-02-26 16:05:17.257999 +0000 +0000
231,2524,3000,error1,21600,2016-02-26 17:15:56.210612 +0000 +0000
232,2535,3392,error3,54400,2016-02-27 03:45:05.578492 +0000 +0000
233,2538,3384,error3,20000,2016-02-27 03:56:28.007424 +0000 +0000
234,2565,3353,error3,34100,2016-02-27 05:45:53.761006 +0000 +0000
235,2570,3005,error3,19100,2016-02-27 06:15:18.813263 +0000 +0000
236,2572,1998,error1,24600,2016-02-27 06:21:39.181046 +0000 +0000
237,2590,4264,error1,16000,2016-02-27 07:35:04.154637 +0000 +0000
238,2591,3259,error3,34000,2016-02-27 07:37:30.566427 +0000 +0000
239,2588,4264,error1,16000,2016-02-27 07:32:54.76817 +0000 +0000
240,2592,3259,error3,34000,2016-02-27 07:37:41.715363 +0000 +0000
241,2641,3727,error3,17600,2016-02-27 09:21:57.322284 +0000 +0000
242,2645,3418,error1,33500,2016-02-27 09:35:12.570751 +0000 +0000
243,2676,3480,error3,69800,2016-02-27 12:03:15.178244 +0000 +0000
244,2677,3480,error3,56900,2016-02-27 12:05:22.655253 +0000 +0000
245,2678,3480,error3,47000,2016-02-27 12:05:40.017334 +0000 +0000
246,2679,3480,error3,47000,2016-02-27 12:06:30.985127 +0000 +0000
247,2680,3480,error3,47000,2016-02-27 12:07:09.829764 +0000 +0000
248,2687,3035,error3,46100,2016-02-27 12:40:45.542457 +0000 +0000
249,2688,3035,error3,46100,2016-02-27 12:40:47.53115 +0000 +0000
250,2689,3035,error3,46100,2016-02-27 12:41:06.204313 +0000 +0000
251,2710,3005,error3,15500,2016-02-27 13:34:37.760737 +0000 +0000
252,2742,11905,error3,52200,2016-02-27 14:14:11.830762 +0000 +0000
253,2752,1808,error1,215100,2016-02-27 14:29:54.88308 +0000 +0000
254,2753,1808,error3,141400,2016-02-27 14:30:59.211126 +0000 +0000
255,2754,1808,error3,141400,2016-02-27 14:30:59.52602 +0000 +0000
256,2735,2593,error1,59400,2016-02-27 14:08:54.993661 +0000 +0000
257,2751,1808,error3,215100,2016-02-27 14:29:37.718672 +0000 +0000
258,2780,3286,error3,52500,2016-02-27 15:48:10.863623 +0000 +0000
259,2802,3159,error2,35100,2016-02-27 16:24:54.422794 +0000 +0000
260,2809,232,error1,56800,2016-02-27 16:57:14.272999 +0000 +0000
261,2815,904,error1,33100,2016-02-27 17:05:41.515443 +0000 +0000
262,2844,13,error2,16300,2016-02-28 05:03:44.393303 +0000 +0000
263,2848,3259,error3,45300,2016-02-28 05:16:08.406473 +0000 +0000
264,2858,1563,error3,30700,2016-02-28 05:57:52.777071 +0000 +0000
265,2870,3437,error1,30500,2016-02-28 06:27:21.168531 +0000 +0000
266,2877,3392,error3,49600,2016-02-28 06:56:48.190939 +0000 +0000
267,2881,3242,error3,37300,2016-02-28 07:14:43.996419 +0000 +0000
268,2912,2456,error1,40500,2016-02-28 08:11:14.408765 +0000 +0000
269,2913,2456,error1,40500,2016-02-28 08:15:20.434363 +0000 +0000
270,2914,2456,error1,40500,2016-02-28 08:16:10.336335 +0000 +0000
271,2917,2456,error1,34500,2016-02-28 08:20:36.913597 +0000 +0000
272,2919,3179,error1,21600,2016-02-28 08:32:04.37363 +0000 +0000
273,2947,3442,error1,22700,2016-02-28 10:14:10.881011 +0000 +0000
274,2910,1424,error1,43400,2016-02-28 08:09:53.49397 +0000 +0000
275,2918,2456,error1,35700,2016-02-28 08:28:45.697621 +0000 +0000
276,2920,3179,error1,21600,2016-02-28 08:33:35.178471 +0000 +0000
277,2927,421,error1,25600,2016-02-28 08:55:09.4239 +0000 +0000
278,2940,3430,error1,35400,2016-02-28 09:47:39.977696 +0000 +0000
279,2949,3442,error1,22700,2016-02-28 10:15:12.597781 +0000 +0000
280,2970,3345,error3,25800,2016-02-28 12:14:19.666484 +0000 +0000
281,2997,975,error1,23500,2016-02-28 14:18:39.663532 +0000 +0000
282,3038,3104,error3,18300,2016-02-28 15:58:42.563245 +0000 +0000
283,3040,3104,error3,18300,2016-02-28 16:00:38.103762 +0000 +0000
284,3050,3370,error1,21400,2016-02-28 16:41:43.945616 +0000 +0000
285,3052,1859,error1,65800,2016-02-28 16:49:50.690305 +0000 +0000
286,3053,1859,error3,65800,2016-02-28 16:50:32.877829 +0000 +0000
287,3062,3449,error1,17700,2016-02-28 18:05:09.881076 +0000 +0000
288,2990,3263,error1,29700,2016-02-28 13:36:27.886591 +0000 +0000
289,3037,3104,error3,18300,2016-02-28 15:57:45.924697 +0000 +0000
290,3039,3104,error3,18300,2016-02-28 16:00:31.519733 +0000 +0000
291,3041,3104,error3,18300,2016-02-28 16:01:10.345165 +0000 +0000
292,3049,3370,error1,21400,2016-02-28 16:40:35.837119 +0000 +0000
293,3060,3229,error3,47200,2016-02-28 17:19:31.240706 +0000 +0000
294,3068,3283,error3,22800,2016-02-29 04:38:35.963164 +0000 +0000
295,3069,2456,error1,14200,2016-02-29 04:45:22.270217 +0000 +0000
296,3070,2456,error1,14200,2016-02-29 04:46:24.777406 +0000 +0000
297,3072,3484,error1,14600,2016-02-29 04:50:28.6714 +0000 +0000
298,3088,1069,error1,15400,2016-02-29 05:43:42.417918 +0000 +0000
299,3144,3467,error1,24000,2016-02-29 08:33:15.314267 +0000 +0000
300,3145,3467,error1,24000,2016-02-29 08:33:18.337521 +0000 +0000
301,3146,3467,error1,24000,2016-02-29 08:33:22.33232 +0000 +0000
302,3147,3467,error1,24000,2016-02-29 08:33:26.645264 +0000 +0000
303,3157,2036,error1,8300,2016-02-29 09:11:53.446443 +0000 +0000
304,3156,2036,error1,8300,2016-02-29 09:11:52.8608 +0000 +0000
305,3165,156,error1,21900,2016-02-29 09:22:48.904428 +0000 +0000
306,3181,3461,error1,16500,2016-02-29 10:57:01.774051 +0000 +0000
307,3182,3461,error1,16500,2016-02-29 10:57:03.885156 +0000 +0000
308,3193,2993,error1,11700,2016-02-29 11:15:24.072664 +0000 +0000
309,3194,2993,error1,11700,2016-02-29 11:15:28.651121 +0000 +0000
310,3195,2993,error1,11700,2016-02-29 11:15:29.091535 +0000 +0000
311,3207,3104,error3,22800,2016-02-29 11:22:36.391076 +0000 +0000
312,3183,3461,error1,16500,2016-02-29 10:57:41.567286 +0000 +0000
313,3199,2993,error1,20000,2016-02-29 11:18:45.257891 +0000 +0000
314,3212,479,error1,13100,2016-02-29 11:56:35.08187 +0000 +0000
315,3213,479,error1,13100,2016-02-29 11:58:11.776693 +0000 +0000
316,3215,479,error1,13100,2016-02-29 12:01:03.877259 +0000 +0000
317,3220,3480,error1,33500,2016-02-29 12:24:22.01875 +0000 +0000
318,3222,3480,error1,33500,2016-02-29 12:25:01.384811 +0000 +0000
319,3221,3480,error3,33500,2016-02-29 12:24:50.714985 +0000 +0000
320,3225,3480,error3,33500,2016-02-29 12:28:23.927212 +0000 +0000
321,3239,1589,error1,7500,2016-02-29 13:30:46.290994 +0000 +0000
322,3247,3437,error3,92700,2016-02-29 13:53:41.557125 +0000 +0000
323,3281,1958,error1,31300,2016-02-29 15:07:56.465131 +0000 +0000
324,3339,2446,error2,34700,2016-02-29 15:40:40.079337 +0000 +0000
325,3359,1069,error2,15400,2016-02-29 15:47:11.819883 +0000 +0000
326,3368,1232,error1,11700,2016-02-29 15:52:29.365494 +0000 +0000
327,3370,1232,error2,11700,2016-02-29 15:52:45.57801 +0000 +0000
328,3372,1232,error2,11700,2016-02-29 15:52:58.884787 +0000 +0000
329,3410,3394,error2,28800,2016-02-29 16:12:16.786603 +0000 +0000
330,3411,3394,error2,28800,2016-02-29 16:12:18.427012 +0000 +0000
331,3416,3394,error2,28800,2016-02-29 16:16:04.274251 +0000 +0000
332,3417,3394,error2,28800,2016-02-29 16:16:20.460051 +0000 +0000
333,3415,3394,error2,28800,2016-02-29 16:15:42.554684 +0000 +0000
334,3431,2456,error2,21500,2016-02-29 16:26:30.538783 +0000 +0000
335,3449,3028,error2,9700,2016-02-29 16:42:47.410625 +0000 +0000
336,3459,5,error2,22400,2016-02-29 16:47:09.117643 +0000 +0000
337,3464,3084,error2,24900,2016-02-29 16:50:50.076331 +0000 +0000
338,3475,3429,error2,13100,2016-02-29 16:59:42.866923 +0000 +0000
339,3465,3084,error2,24900,2016-02-29 16:52:55.296934 +0000 +0000
340,3469,3084,error2,24900,2016-02-29 16:54:03.255273 +0000 +0000
341,3472,2990,error2,18100,2016-02-29 16:56:46.989823 +0000 +0000
342,3477,3429,error2,13100,2016-02-29 17:00:20.255788 +0000 +0000
343,3488,4592,error2,29600,2016-02-29 17:08:12.975267 +0000 +0000
344,3491,12,error2,11400,2016-02-29 17:13:04.50432 +0000 +0000
345,3495,12,error2,2200,2016-02-29 17:16:14.401578 +0000 +0000
346,3493,12,error2,2200,2016-02-29 17:15:36.632991 +0000 +0000
347,3516,12,error2,11400,2016-02-29 18:21:49.12354 +0000 +0000
348,3545,8,error2,15300,2016-03-01 03:32:40.345683 +0000 +0000
349,3546,8,error2,15300,2016-03-01 03:32:41.327325 +0000 +0000
350,3568,3741,error2,11800,2016-03-01 04:05:33.328327 +0000 +0000
351,3567,3741,error2,11800,2016-03-01 04:04:55.036067 +0000 +0000
352,3579,843,error2,8800,2016-03-01 04:33:38.04556 +0000 +0000
353,3609,3074,error3,243600,2016-03-01 06:08:08.292404 +0000 +0000
354,3612,3283,error2,17400,2016-03-01 06:21:27.036175 +0000 +0000
355,3617,5,error2,11100,2016-03-01 06:47:59.363359 +0000 +0000
356,3620,4142,error2,9900,2016-03-01 07:17:12.509655 +0000 +0000
357,3622,1991,error2,27100,2016-03-01 07:19:01.171254 +0000 +0000
358,3623,1991,error2,27100,2016-03-01 07:20:15.702165 +0000 +0000
359,3684,3484,error2,6800,2016-03-01 09:36:45.426797 +0000 +0000
360,3718,4523,error2,16500,2016-03-01 10:38:01.745042 +0000 +0000
361,3734,3305,error2,25000,2016-03-01 11:13:33.698738 +0000 +0000
362,3742,3413,error2,56000,2016-03-01 11:27:01.551663 +0000 +0000
363,3779,1589,error2,22800,2016-03-01 12:56:59.801639 +0000 +0000
364,3780,1589,error2,22800,2016-03-01 12:57:00.03981 +0000 +0000
365,3786,3277,error1,27200,2016-03-01 13:14:13.022728 +0000 +0000
366,3787,3277,error2,27200,2016-03-01 13:14:38.297587 +0000 +0000
367,3674,3736,error2,30100,2016-03-01 09:17:30.904041 +0000 +0000
368,3677,3736,error2,30100,2016-03-01 09:19:27.612752 +0000 +0000
369,3683,3484,error2,6800,2016-03-01 09:36:07.149575 +0000 +0000
370,3778,1589,error2,22800,2016-03-01 12:56:21.174329 +0000 +0000
371,3868,10,error2,78800,2016-03-01 15:55:00.17429 +0000 +0000
